Volume,Close Price,Timestamp (EST)
43168,544.13,2024-08-14 15:05:00
30804,544.2,2024-08-14 15:06:00
53648,544.265,2024-08-14 15:07:00
37733,544.129,2024-08-14 15:08:00
72908,543.9492,2024-08-14 15:09:00
87588,543.78,2024-08-14 15:10:00
73898,543.69,2024-08-14 15:11:00
129469,543.74,2024-08-14 15:12:00
226915,543.4,2024-08-14 15:13:00
241482,542.995,2024-08-14 15:14:00
128884,543.12,2024-08-14 15:15:00
78782,543.14,2024-08-14 15:16:00
53398,543.21,2024-08-14 15:17:00
44874,543.195,2024-08-14 15:18:00
59763,543.15,2024-08-14 15:19:00
62332,543.1,2024-08-14 15:20:00
80279,543.1498,2024-08-14 15:21:00
52690,543.095,2024-08-14 15:22:00
100620,543.21,2024-08-14 15:23:00
182306,543.23,2024-08-14 15:24:00
29770,543.28,2024-08-14 15:25:00
154118,543.29,2024-08-14 15:26:00
29751,543.21,2024-08-14 15:27:00
250417,543.1995,2024-08-14 15:28:00
36874,543.11,2024-08-14 15:29:00
103931,543.1,2024-08-14 15:30:00
45974,543.18,2024-08-14 15:31:00
75502,543,2024-08-14 15:32:00
103423,542.88,2024-08-14 15:33:00
104841,542.82,2024-08-14 15:34:00
102462,542.9,2024-08-14 15:35:00
86801,543.01,2024-08-14 15:36:00
46193,542.9699,2024-08-14 15:37:00
43301,542.94,2024-08-14 15:38:00
242740,543.2,2024-08-14 15:39:00
107739,543.19,2024-08-14 15:40:00
94270,543.305,2024-08-14 15:41:00
261686,543.35,2024-08-14 15:42:00
118506,543.48,2024-08-14 15:43:00
66548,543.465,2024-08-14 15:44:00
82439,543.53,2024-08-14 15:45:00
110241,543.42,2024-08-14 15:46:00
217043,543.46,2024-08-14 15:47:00
94237,543.5801,2024-08-14 15:48:00
159258,543.7,2024-08-14 15:49:00
370804,543.51,2024-08-14 15:50:00
304354,543.57,2024-08-14 15:51:00
405402,543.7,2024-08-14 15:52:00
303123,543.74,2024-08-14 15:53:00
617009,544.2,2024-08-14 15:54:00
645249,544.59,2024-08-14 15:55:00
563438,544.4,2024-08-14 15:56:00
795488,544.39,2024-08-14 15:57:00
734143,544.49,2024-08-14 15:58:00
2227502.0,543.78,2024-08-14 15:59:00
490876,543.93,2024-08-14 16:00:00
78715,544.19,2024-08-14 16:01:00
58286,544.18,2024-08-14 16:02:00
37427,544.2,2024-08-14 16:03:00
35760,544.17,2024-08-14 16:04:00
32519,544.25,2024-08-14 16:05:00
10927,544.38,2024-08-14 16:06:00
588746,544.55,2024-08-14 16:07:00
20305,544.54,2024-08-14 16:08:00
22818,544.52,2024-08-14 16:09:00
106456,544.59,2024-08-14 16:10:00
1896887.0,544.62,2024-08-14 16:11:00
35669,544.65,2024-08-14 16:12:00
22708,544.6,2024-08-14 16:13:00
54540,544.69,2024-08-14 16:14:00
23905,544.75,2024-08-14 16:15:00
36174,544.66,2024-08-14 16:16:00
19970,544.68,2024-08-14 16:17:00
2870,544.66,2024-08-14 16:18:00
19454,544.62,2024-08-14 16:19:00
34724,544.61,2024-08-14 16:20:00
20567,544.55,2024-08-14 16:21:00
2503,544.59,2024-08-14 16:22:00
1945,544.54,2024-08-14 16:23:00
2410,544.57,2024-08-14 16:24:00
8883,544.6,2024-08-14 16:26:00
2340,544.54,2024-08-14 16:27:00
1934,544.54,2024-08-14 16:28:00
11972,544.61,2024-08-14 16:30:00
168072,544.53,2024-08-14 16:31:00
5275,544.48,2024-08-14 16:32:00
6473,544.44,2024-08-14 16:33:00
10252,544.41,2024-08-14 16:35:00
802,544.4,2024-08-14 16:36:00
665,544.3,2024-08-14 16:37:00
1718,544.4,2024-08-14 16:38:00
250,544.32,2024-08-14 16:39:00
3612,544.43,2024-08-14 16:40:00
8848,544.33,2024-08-14 16:41:00
1545,544.42,2024-08-14 16:43:00
1736,544.38,2024-08-14 16:44:00
1112,544.42,2024-08-14 16:45:00
595,544.45,2024-08-14 16:46:00
950,544.42,2024-08-14 16:47:00
15517,544.47,2024-08-14 16:48:00
1230,544.43,2024-08-14 16:49:00
1742,544.4,2024-08-14 16:50:00
1993,544.35,2024-08-14 16:51:00
21597,544.39,2024-08-14 16:52:00
579,544.38,2024-08-14 16:53:00
190,544.4394,2024-08-14 16:54:00
539,544.3786,2024-08-14 16:55:00
4130,544.35,2024-08-14 16:56:00
1699,544.33,2024-08-14 16:57:00
928,544.32,2024-08-14 16:58:00
787,544.301,2024-08-14 16:59:00
1497,544.44,2024-08-14 17:00:00
627,544.49,2024-08-14 17:01:00
343,544.49,2024-08-14 17:02:00
1011,544.4,2024-08-14 17:03:00
1317,544.42,2024-08-14 17:04:00
871,544.48,2024-08-14 17:05:00
186,544.49,2024-08-14 17:06:00
6375,544.6,2024-08-14 17:07:00
422,544.6,2024-08-14 17:08:00
7227,544.43,2024-08-14 17:09:00
28094,544.4,2024-08-14 17:10:00
112,544.52,2024-08-14 17:11:00
105,544.52,2024-08-14 17:12:00
326,544.36,2024-08-14 17:18:00
752,544.35,2024-08-14 17:19:00
2110,544.4,2024-08-14 17:21:00
3628,544.38,2024-08-14 17:23:00
349,544.36,2024-08-14 17:25:00
1010,544.35,2024-08-14 17:26:00
438,544.31,2024-08-14 17:32:00
338,544.31,2024-08-14 17:39:00
118,544.35,2024-08-14 17:41:00
